number,value,datetime_start,datetime_complete,duration,params_architecture,params_bias,params_dropout_rate,params_epochs,params_freeze_layers,params_lr,params_momentum,params_neurons_0,params_neurons_1,params_optimizer,params_weight_decay,state
0,0.7659782475864597,2025-01-26 09:25:08.502005,2025-01-26 09:27:29.148440,0 days 00:02:20.646435,efficientnet_b0,False,0.4,7,0,0.00028442383439756044,0.5608716948880521,256,224,SGD,0.0,COMPLETE
1,0.7943297079310767,2025-01-26 09:27:29.151311,2025-01-26 09:30:45.720218,0 days 00:03:16.568907,resnet18,True,0.1,12,5,0.00012193342005648206,0.6518951802359235,32,64,SGD,0.0002,COMPLETE
2,0.9187746955069453,2025-01-26 09:30:45.721834,2025-01-26 09:32:07.640375,0 days 00:01:21.918541,efficientnet_b0,True,0.30000000000000004,5,0,0.001282377039835594,,96,256,AdamW,0.0006000000000000001,COMPLETE
3,0.9019511996415333,2025-01-26 09:32:07.642021,2025-01-26 09:36:57.057521,0 days 00:04:49.415500,efficientnet_b0,True,0.6,18,5,0.0001759477831088616,,128,160,Adam,0.0008,COMPLETE
4,0.6618599535622632,2025-01-26 09:36:57.059195,2025-01-26 09:40:13.531394,0 days 00:03:16.472199,inception_v3,False,0.1,12,5,8.863084445630226e-05,0.6595559747276305,96,224,SGD,0.0006000000000000001,COMPLETE
5,0.49090909090909096,2025-01-26 09:40:13.533109,2025-01-26 09:40:30.231487,0 days 00:00:16.698378,resnet18,True,0.2,7,5,0.00010190179303789176,0.6081448931028626,32,96,SGD,0.001,PRUNED
6,0.9127052018412156,2025-01-26 09:40:30.237834,2025-01-26 09:44:01.728679,0 days 00:03:31.490845,inception_v3,True,0.4,13,0,6.301841186349447e-05,,96,96,AdamW,0.0002,COMPLETE
7,0.9067579127459366,2025-01-26 09:44:01.730303,2025-01-26 09:45:27.937115,0 days 00:01:26.206812,vit_b_16,True,0.4,5,10,0.0007915389627620773,,256,192,AdamW,0.0004,COMPLETE
8,0.8909090909090909,2025-01-26 09:45:27.938660,2025-01-26 09:45:46.046369,0 days 00:00:18.107709,vit_b_16,False,0.4,19,5,0.002010139630415547,,64,32,Adam,0.0001,PRUNED
9,0.9289176748543728,2025-01-26 09:45:46.047721,2025-01-26 09:49:17.501907,0 days 00:03:31.454186,vit_b_16,False,0.5,13,10,0.0009308724689436191,,224,160,AdamW,0.001,COMPLETE
10,0.503030303030303,2025-01-26 09:49:17.503435,2025-01-26 09:49:34.678347,0 days 00:00:17.174912,vit_b_16,False,0.6,15,10,0.009050820139478027,,192,128,AdamW,0.001,PRUNED
11,0.896969696969697,2025-01-26 09:49:34.679662,2025-01-26 09:49:50.811779,0 days 00:00:16.132117,efficientnet_b0,False,0.30000000000000004,9,0,0.0017055095141515991,,192,256,AdamW,0.0007,PRUNED
12,0.9151515151515152,2025-01-26 09:49:50.813113,2025-01-26 09:50:07.791928,0 days 00:00:16.978815,efficientnet_b0,True,0.5,16,10,0.0007928898902740203,,192,256,AdamW,0.0004,PRUNED
13,0.7575757575757576,2025-01-26 09:50:07.793375,2025-01-26 09:50:24.841395,0 days 00:00:17.048020,vit_b_16,False,0.30000000000000004,10,10,2.209642034713706e-05,,160,160,AdamW,0.0008,PRUNED
14,0.5696969696969696,2025-01-26 09:50:24.842819,2025-01-26 09:50:40.923214,0 days 00:00:16.080395,efficientnet_b0,True,0.5,15,0,0.00803386800005027,,224,192,AdamW,0.0009000000000000001,PRUNED
15,0.8181818181818181,2025-01-26 09:50:40.924629,2025-01-26 09:50:58.714755,0 days 00:00:17.790126,vit_b_16,False,0.2,10,10,0.002633040769130559,,128,192,Adam,0.0005,PRUNED
16,0.9212121212121213,2025-01-26 09:50:58.717037,2025-01-26 09:51:15.259710,0 days 00:00:16.542673,inception_v3,True,0.5,5,0,0.0006187102191815129,,160,128,AdamW,0.0006000000000000001,PRUNED
17,0.9922603772047742,2025-01-26 09:51:15.261018,2025-01-26 09:54:46.561269,0 days 00:03:31.300251,resnet18,False,0.2,13,0,0.0038666812283285374,,96,224,AdamW,0.0008,COMPLETE
18,0.7696969696969697,2025-01-26 09:54:46.562742,2025-01-26 09:55:03.116644,0 days 00:00:16.553902,resnet18,False,0.2,14,10,0.0037461377918118345,,224,224,AdamW,0.0009000000000000001,PRUNED
19,0.9030303030303031,2025-01-26 09:55:03.118124,2025-01-26 09:55:19.497668,0 days 00:00:16.379544,resnet18,False,0.2,17,10,0.004391967901418497,,64,160,Adam,0.0008,PRUNED
20,0.8242424242424242,2025-01-26 09:55:19.499062,2025-01-26 09:55:36.860012,0 days 00:00:17.360950,resnet18,False,0.5,20,0,1.112742604326275e-05,,224,192,AdamW,0.001,PRUNED
21,0.9151515151515152,2025-01-26 09:55:36.861584,2025-01-26 09:55:54.281529,0 days 00:00:17.419945,vit_b_16,False,0.30000000000000004,11,0,0.0013034721311161602,,96,256,AdamW,0.0007,PRUNED
22,0.896969696969697,2025-01-26 09:55:54.282965,2025-01-26 09:56:10.480056,0 days 00:00:16.197091,efficientnet_b0,False,0.30000000000000004,13,0,0.00041474672256545204,,64,224,AdamW,0.0009000000000000001,PRUNED
23,0.9151515151515152,2025-01-26 09:56:10.481484,2025-01-26 09:56:26.558045,0 days 00:00:16.076561,resnet18,True,0.1,8,0,0.004469553059460293,,128,256,AdamW,0.0007,PRUNED
24,0.9732575664996538,2025-01-26 09:56:26.563675,2025-01-26 10:00:15.807105,0 days 00:03:49.243430,resnet18,False,0.2,14,0,0.0011624649096395442,,96,224,AdamW,0.0005,COMPLETE
25,0.9030303030303031,2025-01-26 10:00:15.808877,2025-01-26 10:00:32.135587,0 days 00:00:16.326710,resnet18,False,0.2,14,0,0.00038484223223385377,,160,224,AdamW,0.0004,PRUNED
26,0.8666666666666667,2025-01-26 10:00:32.137002,2025-01-26 10:00:48.456894,0 days 00:00:16.319892,resnet18,False,0.1,16,10,0.0010855791127694016,,64,192,AdamW,0.00030000000000000003,PRUNED
27,0.8484848484848485,2025-01-26 10:00:48.458345,2025-01-26 10:01:05.312014,0 days 00:00:16.853669,resnet18,False,0.2,11,0,0.003056272381361772,,128,128,AdamW,0.0005,PRUNED
28,0.7090909090909091,2025-01-26 10:01:05.314448,2025-01-26 10:01:22.014124,0 days 00:00:16.699676,resnet18,False,0.6,14,0,0.00504065202597496,,96,160,Adam,0.0009000000000000001,PRUNED
29,0.8363636363636363,2025-01-26 10:01:22.015580,2025-01-26 10:01:39.540499,0 days 00:00:17.524919,vit_b_16,False,0.4,16,10,0.0004915562450617997,0.8918042625906712,256,224,SGD,0.0,PRUNED
30,0.6363636363636364,2025-01-26 10:01:39.544603,2025-01-26 10:01:56.865898,0 days 00:00:17.321295,inception_v3,False,0.1,11,0,0.000187153576280702,0.82404106454046,32,96,SGD,0.0008,PRUNED
31,0.8242424242424242,2025-01-26 10:01:56.870963,2025-01-26 10:02:13.939144,0 days 00:00:17.068181,efficientnet_b0,False,0.30000000000000004,13,0,0.0014240225912919326,,96,256,AdamW,0.0006000000000000001,PRUNED
32,0.9272727272727274,2025-01-26 10:02:13.940698,2025-01-26 10:02:30.232258,0 days 00:00:16.291560,efficientnet_b0,True,0.30000000000000004,7,0,0.002172672008477793,,96,224,AdamW,0.0006000000000000001,PRUNED
33,0.9272727272727272,2025-01-26 10:02:30.233882,2025-01-26 10:02:46.615486,0 days 00:00:16.381604,resnet18,True,0.2,12,0,0.0009068163279807579,,64,256,AdamW,0.0007,PRUNED
34,0.9393939393939393,2025-01-26 10:02:46.616786,2025-01-26 10:03:03.671041,0 days 00:00:17.054255,efficientnet_b0,False,0.30000000000000004,15,5,0.0002495199170076711,,128,224,AdamW,0.0005,PRUNED
35,0.8363636363636363,2025-01-26 10:03:03.672406,2025-01-26 10:03:19.924281,0 days 00:00:16.251875,resnet18,True,0.2,12,0,0.006065740379306805,0.5065441966705109,128,192,SGD,0.0008,PRUNED
36,0.9272727272727272,2025-01-26 10:03:19.925636,2025-01-26 10:06:02.077571,0 days 00:02:42.151935,inception_v3,False,0.1,18,5,0.0005802529923405116,,32,64,AdamW,0.001,PRUNED
37,0.8181818181818182,2025-01-26 10:06:02.079115,2025-01-26 10:06:20.123203,0 days 00:00:18.044088,vit_b_16,True,0.4,10,0,0.0026780772128859663,0.7597673472560879,96,256,SGD,0.00030000000000000003,PRUNED
38,0.8787878787878788,2025-01-26 10:06:20.124882,2025-01-26 10:06:36.669434,0 days 00:00:16.544552,resnet18,False,0.30000000000000004,14,5,0.001272460061573317,,160,160,Adam,0.0005,PRUNED
39,0.9272727272727272,2025-01-26 10:06:36.670810,2025-01-26 10:06:53.077514,0 days 00:00:16.406704,efficientnet_b0,True,0.6,13,0,0.00025266980304364955,,64,224,AdamW,0.0007,PRUNED
40,0.896969696969697,2025-01-26 10:06:53.083352,2025-01-26 10:07:11.723884,0 days 00:00:18.640532,vit_b_16,False,0.4,6,10,0.0017491185580582385,,96,64,AdamW,0.00030000000000000003,PRUNED
41,0.9454545454545453,2025-01-26 10:07:11.725257,2025-01-26 10:09:53.792971,0 days 00:02:42.067714,inception_v3,True,0.4,13,0,0.00014956686487917832,,96,96,AdamW,0.0001,PRUNED
42,0.9212121212121213,2025-01-26 10:09:53.794470,2025-01-26 10:10:10.054085,0 days 00:00:16.259615,inception_v3,True,0.5,12,0,6.600209392657585e-05,,96,96,AdamW,0.0002,PRUNED
43,0.8909090909090909,2025-01-26 10:10:10.055528,2025-01-26 10:10:27.260673,0 days 00:00:17.205145,inception_v3,True,0.5,15,0,5.669856801687251e-05,,128,128,AdamW,0.0,PRUNED
44,0.8927858568577132,2025-01-26 10:10:27.264833,2025-01-26 10:12:38.276363,0 days 00:02:11.011530,inception_v3,True,0.4,8,0,0.0007663117568782726,,64,32,AdamW,0.0002,COMPLETE
45,0.91197197441851,2025-01-26 10:12:38.279325,2025-01-26 10:15:38.053301,0 days 00:02:59.773976,vit_b_16,True,0.30000000000000004,11,10,3.8438124020958854e-05,,192,64,AdamW,0.0001,COMPLETE
46,0.812121212121212,2025-01-26 10:15:38.055037,2025-01-26 10:15:54.928087,0 days 00:00:16.873050,efficientnet_b0,True,0.5,14,5,2.517422786895673e-05,,128,192,AdamW,0.0009000000000000001,PRUNED
47,0.896969696969697,2025-01-26 10:15:54.929446,2025-01-26 10:16:11.041422,0 days 00:00:16.111976,inception_v3,False,0.2,17,0,0.0003184397559558777,,256,224,Adam,0.0004,PRUNED
48,0.890909090909091,2025-01-26 10:16:11.042801,2025-01-26 10:16:27.100957,0 days 00:00:16.058156,resnet18,True,0.4,9,10,0.0019449427730993164,,96,160,AdamW,0.0006000000000000001,PRUNED
49,0.34545454545454546,2025-01-26 10:16:27.102423,2025-01-26 10:16:44.773763,0 days 00:00:17.671340,vit_b_16,False,0.2,13,0,0.006336140526612329,,32,256,AdamW,0.001,PRUNED
